timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,flags,protocol_enc,anomaly,risk_score,suspicious_port,alert,severity
2026-05-29 05:29:53,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:29:59,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:29:59,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:30:05,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:08,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:11,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:12,192.168.29.53,192.168.29.1,UDP,59360,53,91,,3,1,44.65,False,False,NORMAL
2026-05-29 05:30:12,192.168.29.53,192.168.29.1,UDP,59360,53,91,,3,1,44.65,False,False,NORMAL
2026-05-29 05:30:12,192.168.29.1,192.168.29.53,UDP,53,59360,107,,3,1,45.17,False,False,NORMAL
2026-05-29 05:30:12,192.168.29.1,192.168.29.53,UDP,53,59360,119,,3,1,44.9,False,False,NORMAL
2026-05-29 05:30:14,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:26,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:29,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:30:29,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:30:29,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:30,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:35,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:45,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:46,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:46,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:54,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:30:56,192.168.29.1,192.168.29.53,ICMP,0,0,60,,0,1,47.16,False,False,NORMAL
2026-05-29 05:30:56,192.168.29.53,192.168.29.1,ICMP,0,0,46,,0,-1,50.25,False,True,MEDIUM
2026-05-29 05:30:59,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:30:59,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:31:04,192.168.29.1,192.168.29.53,UDP,57346,7,60,,3,-1,50.26,False,True,MEDIUM
2026-05-29 05:31:04,192.168.29.53,192.168.29.1,ICMP,0,0,71,,0,1,49.1,False,False,NORMAL
2026-05-29 05:31:05,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:07,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:10,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:15,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.53,192.168.29.1,UDP,33084,53,92,,3,1,44.97,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.53,192.168.29.1,UDP,33084,53,92,,3,1,44.97,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.53,192.168.29.1,UDP,53232,53,92,,3,1,43.01,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.53,192.168.29.1,UDP,53232,53,92,,3,1,43.01,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.1,192.168.29.53,UDP,53,33084,120,,3,1,45.73,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.1,192.168.29.53,UDP,53,53232,120,,3,1,43.73,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.1,192.168.29.53,UDP,53,33084,108,,3,1,44.38,False,False,NORMAL
2026-05-29 05:31:24,192.168.29.1,192.168.29.53,UDP,53,53232,108,,3,1,43.84,False,False,NORMAL
2026-05-29 05:31:26,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:29,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:30,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:31:30,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:31:31,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:35,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:41,34.107.243.93,192.168.29.53,TCP,443,44188,90,PA,2,1,49.62,False,False,NORMAL
